name,park_name,city_name,state_name,country_name,popularity,length,elevation_gain,difficulty_rating,avg_rating,num_reviews,species_count,bio_category_count,abundance_total,conservation_total,num_features,num_activities,route_type_loop,route_type_out and back,route_type_point to point,principal component 1,principal component 2,principal component 3,principal component 4,Class
Mather Campground Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,5.4493,3701.482,36.8808,1,3.5,16,2604,10,2387,125,3,4,1,0,0,0.11045287079398763,-0.44194666745345457,-1.4246879243501835,-2.1705153035507943,1
Tonto Trail: New Hance Trail to Grandview Point,Grand Canyon National Park,Grand Canyon,Arizona,United States,5.3565,25105.704,1569.72,7,5.0,3,2604,10,2387,125,6,6,0,0,1,1.8857620562935569,2.2746995349651717,1.685284656666174,0.40565942471136596,2
South to North Kalbab Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,5.2788,49728.606,3386.9376,7,5.0,9,2604,10,2387,125,3,2,0,0,1,2.565400750106897,3.803757456710076,1.0894538600337937,1.0314786716444506,2
Tusayan Ruin Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,5.2356,482.802,4.8768,1,3.0,17,2604,10,2387,125,5,3,1,0,0,0.054368978846255946,-0.5764745918852482,-1.3255613825278554,-2.2134997317005833,1
Ribbon Falls from the North Rim via North Kaibob Trail,Grand Canyon National Park,North Rim,Arizona,United States,5.0517,27036.912,1639.824,5,4.5,3,2604,10,2387,125,3,5,0,1,0,1.048635033245071,0.8462504391401899,-0.30460868537851893,1.4964039895529098,4
Boucher Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,4.9978,28485.318,1714.8048,7,5.0,7,2604,10,2387,125,3,3,0,1,0,1.180445511963966,1.207499040692962,-0.26792631026079033,1.8010974038403487,2
Ken Patrick Trail North from Point Imperial,Grand Canyon National Park,North Rim,Arizona,United States,4.9845,7885.766,143.8656,1,3.0,12,2604,10,2387,125,4,1,0,1,0,0.037684010130718516,-0.820707576465179,-2.3086040259925316,0.6952969893158464,4
Grand Canyon Bridle Trail,Grand Canyon National Park,North Rim,Arizona,United States,4.6675,5149.888,77.724,1,3.5,12,2604,10,2387,125,4,4,0,1,0,0.04115176973356425,-0.9462144574434055,-1.6947282847644793,0.6112291985099746,4
Tonto Trail from Grandview Point to South Kaibab Trailhead,Grand Canyon National Park,Grand Canyon,Arizona,United States,4.557,43774.048,1589.8368,7,4.0,3,2604,10,2387,125,4,6,0,0,1,2.2187873325718455,2.823847552237093,1.1063573442530579,0.4911078368551974,2
Phantom Ranch to Phantom Overlook,Grand Canyon National Park,North Rim,Arizona,United States,4.4377,3379.614,205.74,3,4.5,10,2604,10,2387,125,2,2,0,1,0,0.15856110107200388,-0.5220889268351064,-2.030400961205471,0.9509592429616026,4
Monument Point via Bill Hall Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,4.3741,2414.01,103.9368,1,4.5,5,2604,10,2387,125,6,5,0,1,0,-0.0696626436117649,-1.153297427177717,-0.8444838453006605,0.5747682477074041,4
Waldron Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,4.324,7885.766,703.7832,5,4.5,4,2604,10,2387,125,1,2,0,1,0,0.5735637643762075,0.20341274375752771,-1.8450660718668606,1.3068380796041492,4
Lava Falls Trail,Grand Canyon National Park,Colorado City,Arizona,United States,4.2213,4184.284,762.9144,5,4.0,3,2604,10,2387,125,4,2,0,1,0,0.5473860841014736,0.042247169900717196,-1.304193313812217,1.2429806026563799,4
Tanner Trail to Grandview Trail and Grandview Point,Grand Canyon National Park,Grand Canyon,Arizona,United States,4.0376,50855.144,2435.9616,7,5.0,3,2604,10,2387,125,5,4,0,0,1,2.3613163465384717,3.27272846342167,1.5361054777715604,0.7534632961235841,2
Grandview Point to Horseshoe Mesa East Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,4.0154,11748.182,833.9328,5,5.0,4,2604,10,2387,125,1,3,0,1,0,0.6350739252342797,0.3029788866414097,-1.4722015078695965,1.3400701059772813,4
Tonto Trail to Monument Creek,Grand Canyon National Park,Grand Canyon,Arizona,United States,4.0014,45544.322,1603.8576,5,4.5,3,2604,10,2387,125,3,3,0,1,0,1.1769710673960154,1.198430530824662,-0.5685742467418444,1.6126914783134,4
Hermit Trail to Granite Rapids Campground,Grand Canyon National Park,Grand Canyon,Arizona,United States,3.2761,35244.546,1748.9424,5,4.5,6,2604,10,2387,125,3,4,0,1,0,1.1649080675740737,1.1102452039989446,-0.47106052391628045,1.5664704856709808,4
