name,park_name,city_name,state_name,country_name,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews,species_count,bio_category_count,abundance_total,conservation_total,features_list,activities_list,principal component 1,principal component 2,principal component 3,principal component 4,Class
Lower Chilnualna Falls Trail,Yosemite National Park,Yosemite Valley,California,United States,11.5232,965.604,76.8096,3,out and back,2.0,4.5,71,2043,6,749,92,72,32,-1.7653747315578154,0.2963685611281357,-0.2917122991109114,0.29643394641845816,1
Mono Pass Trail,Yosemite National Park,Lee Vining,California,United States,11.3622,17380.872,503.8344,3,out and back,2.0,4.5,62,2043,6,749,92,75,63,-1.4907333872491848,-0.003407110001649981,0.6581319928102649,-0.49830387508342466,1
Ostrander Lake Trail,Yosemite National Park,Yosemite Valley,California,United States,11.2612,19151.146,544.9824,3,out and back,2.0,4.5,67,2043,6,749,92,74,79,-1.4288206651432482,0.010384841066449654,0.9018367873566386,-0.8752469182597135,1
Pohono Trail Glacier Point to Inspiration Point,Yosemite National Park,Yosemite Valley,California,United States,11.2231,19312.08,615.696,3,point to point,2.0,5.0,34,2043,6,749,92,58,59,-1.480669362264317,-0.28132550134146833,0.4588820771455428,0.06425611067179747,1
Yosemite Valley to Tuolumne Meadows Trail,Yosemite National Park,Yosemite Valley,California,United States,11.1137,34761.744,2081.784,3,point to point,2.0,4.5,11,2043,6,749,92,58,63,-1.0291810902508671,-1.2911243799037742,1.479856708517618,0.039868595323806134,2
Four Mile Trail to Panorama Trail Loop,Yosemite National Park,Yosemite Valley,California,United States,11.0914,26232.242,1355.7504,7,loop,2.0,5.0,51,2043,6,749,92,47,26,-1.0828244837040106,-1.5181852995420397,1.2825939003892497,1.9582881396890282,2
Swinging Bridge Trail,Yosemite National Park,Yosemite Valley,California,United States,11.001,1931.208,17.9832,1,out and back,,4.5,60,2043,6,749,92,54,32,-1.892167160445574,0.32553448329881135,-1.0874741578677636,0.30480306026267284,1
Rancheria Falls Trail,Yosemite National Park,Long Barn,California,United States,10.9092,19151.146,797.9664,3,out and back,3.0,4.5,33,2043,6,749,92,80,74,-1.3701391666192095,-0.15317374354951632,1.0203488499236697,-0.900644528469688,1
Yosemite Grand Tour,Yosemite National Park,Yosemite Valley,California,United States,10.7653,24301.034,1325.88,5,loop,2.0,5.0,21,2043,6,749,92,70,26,-1.2442063548353977,-1.0032481047110102,1.1336328783599952,1.0724282349654883,2
Wawona Meadow Loop Trail,Yosemite National Park,Yosemite Valley,California,United States,10.6921,5793.624,74.9808,1,loop,2.0,4.0,76,2043,6,749,92,69,85,-1.6828997507211554,0.5585503440771425,-0.13996946910161662,-1.4764637280750268,1
Merced Grove Trail,Yosemite National Park,Yosemite Valley,California,United States,10.6665,6598.294,228.9048,1,out and back,1.0,4.0,76,2043,6,749,92,66,80,-1.659172283744242,0.4222594615586982,-0.15388745973510418,-1.25976315083074,1
West Valley Loop Trail,Yosemite National Park,Yosemite Valley,California,United States,10.6501,10621.644,130.7592,1,loop,2.0,4.5,25,2043,6,749,92,75,99,-1.6210201753359916,0.5587245597340796,0.2685688105158542,-1.9053945957113174,1
May Lake from Sunrise Lakes Trailhead,Yosemite National Park,Yosemite Valley,California,United States,10.3926,10943.512,366.9792,3,out and back,2.0,4.5,16,2043,6,749,92,66,37,-1.5742600417702242,-0.23239134476077528,-0.12153507447066708,0.2276873500681682,1
Tuolumne Meadow to Cathedral Pass,Yosemite National Park,Yosemite Valley,California,United States,10.2144,12874.72,462.9912,3,out and back,2.0,5.0,28,2043,6,749,92,47,122,-1.347576055288771,-0.07827609926127417,0.8259967706646885,-1.3961460869506286,1
