trail_id,name,park_name,city_name,state_name,country_name,popularity,length,elevation_gain,difficulty_rating,route_type,avg_rating,num_reviews,dogs-no,forest,river,views,waterfall,wild-flowers,wildlife,partially-paved,lake,kids,historic-site,dogs-leash,ada,beach,cave,paved,strollers,hot-springs,city-walk,rails-trails_x,dogs,birding,camping,hiking,nature-trips,trail-running,walking,fishing,backpacking,sea-kayaking,canoeing,mountain-biking,horseback-riding,scenic-driving,road-biking,off-road-driving,rock-climbing,snowshoeing,cross-country-skiing,fly-fishing,paddle-sports,skiing,bike-touring,whitewater-kayaking,rails-trails_y,ice-climbing,surfing,snowboarding
10013850,Bright Angel Point Trail,Grand Canyon National Park,North Rim,Arizona,United States,19.8228,1448.406,43.8912,1,out and back,4.5,142,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10031380,Wasson Peak Trail,Saguaro National Park,Tucson,Arizona,United States,18.8699,12713.786,567.8424,3,loop,4.5,229,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10304374,Indian Garden via Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,16.7412,13196.588,896.7216,5,out and back,5.0,61,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10236025,Blue Mesa Trail,Petrified Forest National Park,Holbrook,Arizona,United States,15.5733,1448.406,32.9184,1,loop,4.5,163,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10013966,King Canyon Trail to Wasson Peak,Saguaro National Park,Tucson,Arizona,United States,15.5,11426.314,560.832,3,out and back,4.5,135,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10004120,Grandview Trail Loop,Grand Canyon National Park,Grand Canyon,Arizona,United States,14.8144,18668.344,1188.72,7,loop,5.0,62,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10006500,Hermit Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,14.7746,24783.836,1567.8912,5,out and back,4.5,88,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10259347,Grandview Point to Horseshoe Mesa Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,14.7248,8851.37,726.948,3,out and back,5.0,97,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10041313,North Kaibab Trail to Roaring Springs,Grand Canyon National Park,North Rim,Arizona,United States,14.6866,13518.456,1071.9816,5,out and back,4.5,80,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10244240,Wasson Peak via Sweetwater Trail,Saguaro National Park,Tucson,Arizona,United States,14.3846,14966.862,637.9464,5,out and back,4.5,161,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
